"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 34143; Unit:   1, Func:   4: Read Input Registers"
"2","0.000267","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34144; Unit:   1, Func:   3: Read Holding Registers"
"3","0.000806","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 34144; Unit:   1, Func:   3: Read Holding Registers"
"4","0.001045","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 34145; Unit:   1, Func:  16: Write Multiple Registers"
"5","0.001521","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 34145; Unit:   1, Func:  16: Write Multiple Registers"
"6","0.101450","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34146; Unit:   1, Func:   2: Read Discrete Inputs"
"7","0.102257","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 34146; Unit:   1, Func:   2: Read Discrete Inputs"
"8","0.102926","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 34147; Unit:   1, Func:  15: Write Multiple Coils"
"9","0.103497","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 34147; Unit:   1, Func:  15: Write Multiple Coils"
"10","0.103806","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34148; Unit:   1, Func:   4: Read Input Registers"
"11","0.104215","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 34148; Unit:   1, Func:   4: Read Input Registers"
"12","0.104555","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34149; Unit:   1, Func:   3: Read Holding Registers"
"13","0.105007","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 34149; Unit:   1, Func:   3: Read Holding Registers"
"14","0.105348","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 34150; Unit:   1, Func:  16: Write Multiple Registers"
"15","0.105771","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 34150; Unit:   1, Func:  16: Write Multiple Registers"
"16","0.205241","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34151; Unit:   1, Func:   2: Read Discrete Inputs"
"17","0.205731","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 34151; Unit:   1, Func:   2: Read Discrete Inputs"
"18","0.205850","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 34152; Unit:   1, Func:  15: Write Multiple Coils"
"19","0.206132","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 34152; Unit:   1, Func:  15: Write Multiple Coils"
"20","0.206220","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34153; Unit:   1, Func:   4: Read Input Registers"
"21","0.206501","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 34153; Unit:   1, Func:   4: Read Input Registers"
"22","0.206592","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34154; Unit:   1, Func:   3: Read Holding Registers"
"23","0.206863","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 34154; Unit:   1, Func:   3: Read Holding Registers"
"24","0.206946","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 34155; Unit:   1, Func:  16: Write Multiple Registers"
"25","0.207217","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 34155; Unit:   1, Func:  16: Write Multiple Registers"
"26","0.307318","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34156; Unit:   1, Func:   2: Read Discrete Inputs"
"27","0.307862","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 34156; Unit:   1, Func:   2: Read Discrete Inputs"
"28","0.308114","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 34157; Unit:   1, Func:  15: Write Multiple Coils"
"29","0.308500","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 34157; Unit:   1, Func:  15: Write Multiple Coils"
"30","0.308720","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34158; Unit:   1, Func:   4: Read Input Registers"
"31","0.309179","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 34158; Unit:   1, Func:   4: Read Input Registers"
"32","0.309429","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34159; Unit:   1, Func:   3: Read Holding Registers"
"33","0.309805","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 34159; Unit:   1, Func:   3: Read Holding Registers"
"34","0.310045","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 34160; Unit:   1, Func:  16: Write Multiple Registers"
"35","0.310421","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 34160; Unit:   1, Func:  16: Write Multiple Registers"
"36","0.410433","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34161; Unit:   1, Func:   2: Read Discrete Inputs"
"37","0.410991","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 34161; Unit:   1, Func:   2: Read Discrete Inputs"
"38","0.411503","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 34162; Unit:   1, Func:  15: Write Multiple Coils"
"39","0.411833","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 34162; Unit:   1, Func:  15: Write Multiple Coils"
"40","0.412107","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34163; Unit:   1, Func:   4: Read Input Registers"
"41","0.412430","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 34163; Unit:   1, Func:   4: Read Input Registers"
"42","0.412758","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 34164; Unit:   1, Func:   3: Read Holding Registers"
"43","0.413130","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 34164; Unit:   1, Func:   3: Read Holding Registers"
"44","0.413470","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 34165; Unit:   1, Func:  16: Write Multiple Registers"
