"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26096; Unit:   1, Func:   2: Read Discrete Inputs"
"2","0.000716","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26096; Unit:   1, Func:   2: Read Discrete Inputs"
"3","0.000925","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26097; Unit:   1, Func:  15: Write Multiple Coils"
"4","0.001372","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26097; Unit:   1, Func:  15: Write Multiple Coils"
"5","0.001540","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26098; Unit:   1, Func:   4: Read Input Registers"
"6","0.001956","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26098; Unit:   1, Func:   4: Read Input Registers"
"7","0.002109","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26099; Unit:   1, Func:   3: Read Holding Registers"
"8","0.002493","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26099; Unit:   1, Func:   3: Read Holding Registers"
"9","0.002673","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26100; Unit:   1, Func:  16: Write Multiple Registers"
"10","0.003066","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26100; Unit:   1, Func:  16: Write Multiple Registers"
"11","0.103153","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26101; Unit:   1, Func:   2: Read Discrete Inputs"
"12","0.103771","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26101; Unit:   1, Func:   2: Read Discrete Inputs"
"13","0.104408","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26102; Unit:   1, Func:  15: Write Multiple Coils"
"14","0.104780","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26102; Unit:   1, Func:  15: Write Multiple Coils"
"15","0.105224","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26103; Unit:   1, Func:   4: Read Input Registers"
"16","0.105584","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26103; Unit:   1, Func:   4: Read Input Registers"
"17","0.106219","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26104; Unit:   1, Func:   3: Read Holding Registers"
"18","0.106559","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26104; Unit:   1, Func:   3: Read Holding Registers"
"19","0.107055","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26105; Unit:   1, Func:  16: Write Multiple Registers"
"20","0.107377","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26105; Unit:   1, Func:  16: Write Multiple Registers"
"21","0.112988","3Com_78:9b:01","Spanning-tree-(for-bridges)_00","STP","64","RST. Root = 8192/0/00:18:6e:78:9b:00  Cost = 0  Port = 0x8001"
"22","0.206957","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26106; Unit:   1, Func:   2: Read Discrete Inputs"
"23","0.207537","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26106; Unit:   1, Func:   2: Read Discrete Inputs"
"24","0.207650","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26107; Unit:   1, Func:  15: Write Multiple Coils"
"25","0.207962","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26107; Unit:   1, Func:  15: Write Multiple Coils"
"26","0.208048","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26108; Unit:   1, Func:   4: Read Input Registers"
"27","0.208360","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26108; Unit:   1, Func:   4: Read Input Registers"
"28","0.208461","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26109; Unit:   1, Func:   3: Read Holding Registers"
"29","0.208762","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26109; Unit:   1, Func:   3: Read Holding Registers"
"30","0.208859","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26110; Unit:   1, Func:  16: Write Multiple Registers"
"31","0.209152","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26110; Unit:   1, Func:  16: Write Multiple Registers"
"32","0.251639","Raspberr_58:67:86","Broadcast","ARP","60","Who has 8.8.8.8? Tell 169.254.149.247"
"33","0.309074","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26111; Unit:   1, Func:   2: Read Discrete Inputs"
"34","0.309691","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26111; Unit:   1, Func:   2: Read Discrete Inputs"
"35","0.309907","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26112; Unit:   1, Func:  15: Write Multiple Coils"
"36","0.310592","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26112; Unit:   1, Func:  15: Write Multiple Coils"
"37","0.310771","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26113; Unit:   1, Func:   4: Read Input Registers"
"38","0.311345","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26113; Unit:   1, Func:   4: Read Input Registers"
"39","0.311549","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26114; Unit:   1, Func:   3: Read Holding Registers"
"40","0.312948","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26114; Unit:   1, Func:   3: Read Holding Registers"
"41","0.313188","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26115; Unit:   1, Func:  16: Write Multiple Registers"
"42","0.313789","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26115; Unit:   1, Func:  16: Write Multiple Registers"
"43","0.414032","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26116; Unit:   1, Func:   2: Read Discrete Inputs"
"44","0.414696","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26116; Unit:   1, Func:   2: Read Discrete Inputs"
"45","0.415374","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26117; Unit:   1, Func:  15: Write Multiple Coils"
"46","0.415933","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26117; Unit:   1, Func:  15: Write Multiple Coils"
"47","0.416424","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26118; Unit:   1, Func:   4: Read Input Registers"
"48","0.416963","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26118; Unit:   1, Func:   4: Read Input Registers"
