"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 41836; Unit:   1, Func:   2: Read Discrete Inputs"
"2","0.000650","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 41836; Unit:   1, Func:   2: Read Discrete Inputs"
"3","0.000881","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 41837; Unit:   1, Func:  15: Write Multiple Coils"
"4","0.001381","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 41837; Unit:   1, Func:  15: Write Multiple Coils"
"5","0.001559","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 41838; Unit:   1, Func:   4: Read Input Registers"
"6","0.001939","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 41838; Unit:   1, Func:   4: Read Input Registers"
"7","0.002147","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 41839; Unit:   1, Func:   3: Read Holding Registers"
"8","0.002610","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 41839; Unit:   1, Func:   3: Read Holding Registers"
"9","0.002793","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 41840; Unit:   1, Func:  16: Write Multiple Registers"
"10","0.003447","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 41840; Unit:   1, Func:  16: Write Multiple Registers"
"11","0.103143","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 41841; Unit:   1, Func:   2: Read Discrete Inputs"
"12","0.103791","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 41841; Unit:   1, Func:   2: Read Discrete Inputs"
"13","0.104154","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 41842; Unit:   1, Func:  15: Write Multiple Coils"
"14","0.104484","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 41842; Unit:   1, Func:  15: Write Multiple Coils"
"15","0.104805","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 41843; Unit:   1, Func:   4: Read Input Registers"
"16","0.105164","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 41843; Unit:   1, Func:   4: Read Input Registers"
"17","0.105511","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 41844; Unit:   1, Func:   3: Read Holding Registers"
"18","0.105857","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 41844; Unit:   1, Func:   3: Read Holding Registers"
"19","0.106215","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 41845; Unit:   1, Func:  16: Write Multiple Registers"
